gene	target	transcript	plat	chain	chain_in2	sim_100	sim_98	sim_95	indel_0	indel_2	category	reason	notes
GZMK	GZMK_beg	FSM-11716	pb	4889	4601	2644	4693	4736	2727	4242	supported		
GZMK	GZMK_beg	FSM-11716	cntl	1	1	1	1	2	1	1	supported		
GZMK	GZMK_end	FSM-11716	pb	0	0	0	0	0	0	0	unsupported		
GZMK	GZMK_end	FSM-11716	cntl	0	0	1	1	1	1	1	unsupported		
GZMK	GZMK_full	FSM-11716	pb	0	0	0	0	4637	0	0	unsupported	other iso	amplicon alignments start ~56 bases from start of amplicon. 
GZMK	GZMK_full	FSM-11716	cntl	1	1	1	1	2	1	1	unsupported	other iso	
IL1B	IL1B+2_long	ISM-113494	pb	81289	71371	0	20327	76308	6	17	supported		
IL1B	IL1B+2_long	ISM-113494	cntl	1	1	1	1	1	1	1	supported		
IL1B	IL1B+2_long	NIC-118574	pb	71441	55808	0	36064	37693	0	0	supported		
IL1B	IL1B+2_long	NIC-118574	cntl	4	4	1	1	1	1	1	supported		
IL1B	IL1B+2_long5	ISM-113494	pb	71446	55811	528	1354	1505	529	795	supported		
IL1B	IL1B+2_long5	ISM-113494	cntl	4	4	1	1	1	1	1	supported		
IL1B	IL1B+2_long5	NIC-118574	pb	2564	2455	4883	5702	5749	4894	5448	supported		
IL1B	IL1B+2_long5	NIC-118574	cntl	10	10	1	1	1	1	1	supported		
IL1B	IL1B+3	ISM-113494	pb	71446	55811	0	257	319	25	51	supported		
IL1B	IL1B+3	ISM-113494	cntl	4	4	2	2	2	3	3	supported		
IL1B	IL1B+3	ISM-113495	pb	71376	55744	0	258	319	25	51	supported		
IL1B	IL1B+3	ISM-113495	cntl	4	4	2	2	2	3	3	supported		
IL1B	IL1B+3	ISM-113496	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	ISM-113496	cntl	10	10	2	2	2	2	2	unsupported	other iso	
IL1B	IL1B+3	NIC-118574	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NIC-118574	cntl	10	10	2	2	2	2	2	unsupported	other iso	
IL1B	IL1B+3	NNC-130497	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-130497	cntl	10	10	3	3	3	3	3	unsupported	other iso	
IL1B	IL1B+3	NNC-130498	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-130498	cntl	10	10	4	4	4	4	4	unsupported	other iso	
IL1B	IL1B+3	NNC-130500	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-130500	cntl	10	10	1	1	1	1	1	unsupported	other iso	
IL1B	IL1B+3	NNC-250679	pb	2564	2455	0	0	1	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-250679	cntl	10	10	3	3	3	3	3	unsupported	other iso	
IL1B	IL1B+3	NNC-250680	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-250680	cntl	10	10	4	4	4	4	4	unsupported	other iso	
IL1B	IL1B+3	NNC-250681	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-250681	cntl	10	10	0	0	0	0	0	unsupported	other iso	
IL1B	IL1B+3	NNC-297076	pb	2564	2455	0	0	0	0	0	unsupported	other iso	amplicon alignments end ~19 bases from end of amplicon. 
IL1B	IL1B+3	NNC-297076	cntl	10	10	3	3	3	3	3	unsupported	other iso	
IL1B	IL1B+5	ISM-113496	pb	35882	31356	0	28189	28560	0	5	supported		
IL1B	IL1B+5	ISM-113496	cntl	3	3	2	3	3	2	2	supported		
IL1B	IL1B+5	NNC-130497	pb	0	0	0	0	0	0	0	unsupported		
IL1B	IL1B+5	NNC-130497	cntl	1	1	1	1	1	1	1	unsupported		
IL1B	IL1B+5	NNC-130498	pb	35882	31356	0	28198	28573	0	5	supported		
IL1B	IL1B+5	NNC-130498	cntl	3	3	2	2	2	2	2	supported		
IL1B	IL1B+5	NNC-130500	pb	618	411	0	210	861	0	0	supported		
IL1B	IL1B+5	NNC-130500	cntl	1	1	1	1	2	1	1	supported		
IL1B	IL1B+5	NNC-250679	pb	0	0	0	0	2	0	0	unsupported		
IL1B	IL1B+5	NNC-250679	cntl	1	1	1	1	2	1	1	unsupported		
IL1B	IL1B+5	NNC-250680	pb	0	0	0	32	95	0	0	unsupported	other iso	amplicon alignments start 29 bases from start of amplicon. 
IL1B	IL1B+5	NNC-250680	cntl	1	1	1	1	1	1	1	unsupported	other iso	
IL1B	IL1B+5	NNC-250681	pb	0	0	0	0	0	0	0	unsupported		
IL1B	IL1B+5	NNC-250681	cntl	1	1	1	1	2	1	1	unsupported		
IL1B	IL1B+5	NNC-297076	pb	35882	31356	0	28243	28629	0	5	supported		
IL1B	IL1B+5	NNC-297076	cntl	3	3	3	4	4	3	3	supported		
